2022-01-16 15:42:55,075 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>,) 
2022-01-16 15:43:01,792 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:01,792 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:02,306 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:02,307 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:02,815 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:02,815 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:03,330 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:03,331 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:03,833 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:03,833 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:04,342 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:04,343 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:04,854 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:04,855 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:05,365 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:05,366 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:05,875 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:05,876 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:06,385 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:06,385 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:06,896 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:06,896 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:07,404 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:07,405 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:07,920 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:07,920 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:08,430 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:08,431 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:08,943 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:08,944 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:09,459 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:09,460 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:09,970 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:09,972 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:10,486 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:10,486 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:10,996 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:10,997 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:11,507 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:11,508 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:12,022 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:12,023 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:12,534 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:12,534 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:13,049 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
